Assembly,KUMAR NAVNEET HIMANSHU,NILAM DEVI,RAJIV RANJAN SINGH ALIAS LALAN SINGH,AJIT KUMAR,ARVIND KUMAR SHARMA,KRISHNA MURARI KUMAR,PANCHANAN D SINGH,RAUSHAN KUMAR,VIKASH KUMAR ARYA,SANJAY KESARI,SANTOSH KUMAR,SURYODAY PASWAN,SONELAL KORA,AMARJIT PATEL,UCHIT KUMAR,DINA SAW,PRANAY KUMAR,MAHESH RAM,DR.RAJESH KUMAR RATNAKAR,Total Valid Votes,NOTA,
165-Munger,1457,64817,95980,1262,1395,524,450,334,530,1291,677,559,967,2376,1627,2315,682,983,1553,179779,1423,
166-Jamalpur,1634,54053,91366,1293,1523,573,559,402,834,1328,722,615,1227,2956,1940,2787,737,1145,1914,167608,1612,
"167-
Suryagarha",1760,58021,96960,1638,1880,669,648,498,839,1785,909,827,1446,3853,2416,3248,981,1299,2045,181722,1793,
168-Lakhisarai,1735,57173,115151,1840,1962,746,627,489,919,1688,948,839,1405,3910,1883,3008,989,1320,2237,198869,1963,
178-Mokama,1914,62644,61775,1294,1199,476,466,323,563,1214,527,662,1003,2829,2262,2179,688,1512,1763,145293,1399,
179-Barh,1977,62595,64287,1334,1305,564,517,370,612,1198,610,940,1101,2715,2236,2353,665,1188,1532,148099,1461,
Total,10477,359303,525519,8661,9264,3552,3267,2416,4297,8504,4393,4442,7149,18639,12364,15890,4742,7447,11044,"102137
0",9651,
Postal Ballot,135,1522,3243,16,27,4,4,3,10,127,14,8,13,7,6,3,1,3,10,5156,91,
Grand Total,10612,360825,528762,8677,9291,3556,3271,2419,4307,8631,4407,4450,7162,18646,12370,15893,4743,7450,11054,"102652
6",9742,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
