Sno_of_polling_station,KUMAR NAVNEET HIMANSHU,Nilam Devi,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Ajit kumar,Arvind Kumar Sharma,KRISHNA MURARI KUMAR,PANCHANAND SINGH,RAUSHAN KUMAR,VIKASH KUMAR ARYA,SANJAY KESARI,SANTOSH KUMAR,SURYODAY PASWAN,SONELAL KORA,AMARJIT PATEL,UCHIT KUMAR,DINA SAW,PRANAY KUMAR,MAHESH RAM,DR.RAJESH KUMAR RATNAKAR,Total of Valid Votes,No. of rejected votes,NOTA,Total,No.of tendered votes,Margin
1,3,98,104,2,1,1,1,1,1,3,4,0,1,11,5,4,0,4,1,245,0,1,246,0,6
2,3,19,347,4,8,6,1,0,3,9,52,3,4,7,3,6,0,1,5,481,0,3,484,0,328
3,5,14,348,6,8,2,2,2,1,11,67,1,4,6,1,7,13,9,6,513,0,7,520,0,334
4,11,230,231,11,5,8,3,0,6,5,8,9,5,16,16,27,4,7,4,606,0,8,614,0,1
5,2,116,380,8,10,4,4,1,3,4,3,7,5,21,12,25,9,14,18,646,0,15,661,0,264
6,69,71,192,1,2,1,0,0,2,0,0,2,0,3,0,0,0,1,3,347,0,1,348,0,121
7,9,17,174,5,3,1,1,0,0,3,0,3,2,15,1,3,5,5,8,255,0,8,263,0,157
8,5,78,149,1,4,1,1,4,1,3,1,3,4,9,3,6,0,3,2,278,0,1,279,0,71
9,2,70,380,9,7,5,3,2,15,7,2,4,11,22,11,9,0,0,0,559,0,1,560,0,310
10,4,364,33,3,1,0,0,1,0,0,1,2,2,1,3,4,8,6,3,436,0,5,441,0,-331
11,17,281,95,5,9,1,5,1,0,6,4,5,5,4,3,6,4,3,2,456,0,3,459,0,-186
12,1,71,143,3,5,0,1,0,1,1,2,2,6,1,1,2,2,2,0,244,0,4,248,0,72
13,0,39,148,1,2,1,1,0,3,1,1,1,5,2,0,2,0,0,1,208,0,4,212,0,109
14,0,78,287,0,1,2,0,0,0,1,1,1,0,4,1,3,0,1,1,381,0,4,385,0,209
